time(s),lead voltage(mv)
10.084,0.3015
10.086,0.3
10.088,0.2975
10.09,0.2945
10.092,0.2935
10.094,0.297
10.096,0.303
10.098,0.309
10.1,0.312
10.102,0.3125
10.104,0.3055
10.106,0.3015
10.108,0.293
10.11,0.292
10.112,0.2915
10.114,0.2945
10.116,0.299
10.118,0.3065
10.12,0.3105
10.122,0.31
10.124,0.303
10.126,0.2985
10.128,0.2935
10.13,0.291
10.132,0.2845
10.134,0.294
10.136,0.292
10.138,0.3005
10.14,0.305
10.142,0.302
10.144,0.298
10.146,0.2875
10.148,0.283
10.15,0.279
10.152,0.2795
10.154,0.279
10.156,0.2875
10.158,0.288
10.16,0.291
10.162,0.295
10.164,0.2835
10.166,0.277
10.168,0.269
10.17,0.2655
10.172,0.2605
10.174,0.27
10.176,0.271
10.178,0.28
10.18,0.2765
10.182,0.28
10.184,0.264
10.186,0.266
10.188,0.258
10.19,0.2515
10.192,0.253
10.194,0.257
10.196,0.2605
10.198,0.269
10.2,0.2725
10.202,0.2735
10.204,0.2625
10.206,0.2575
10.208,0.2545
10.21,0.2425
10.212,0.2465
10.214,0.259
10.216,0.2615
10.218,0.27
10.22,0.2775
10.222,0.273
10.224,0.2675
10.226,0.2615
10.228,0.265
10.23,0.2565
10.232,0.256
10.234,0.2655
10.236,0.2715
10.238,0.2725
10.24,0.2835
10.242,0.287
10.244,0.275
10.246,0.275
10.248,0.2715
10.25,0.26
10.252,0.2595
10.254,0.271
10.256,0.273
10.258,0.2765
10.26,0.284
10.262,0.281
10.264,0.276
10.266,0.2725
10.268,0.268
10.27,0.262
10.272,0.2615
10.274,0.2685
10.276,0.271
10.278,0.2795
10.28,0.2815
10.282,0.2855
10.284,0.276
10.286,0.271
10.288,0.26
10.29,0.2585
10.292,0.2645
10.294,0.2665
10.296,0.2745
10.298,0.2735
10.3,0.2745
10.302,0.287
10.304,0.277
10.306,0.2725
10.308,0.267
10.31,0.261
10.312,0.2625
10.314,0.266
10.316,0.274
10.318,0.277
10.32,0.2855
10.322,0.2845
10.324,0.277
10.326,0.276
10.328,0.2695
10.33,0.2625
10.332,0.2645
10.334,0.269
10.336,0.273
10.338,0.2765
10.34,0.2755
10.342,0.2805
10.344,0.2715
10.346,0.266
10.348,0.265
10.35,0.261
10.352,0.259
10.354,0.269
10.356,0.2625
10.358,0.268
10.36,0.2765
10.362,0.279
10.364,0.265
10.366,0.265
10.368,0.255
10.37,0.257
10.372,0.2545
10.374,0.256
10.376,0.262
10.378,0.27
10.38,0.2695
10.382,0.2745
10.384,0.2655
10.386,0.2655
10.388,0.2525
10.39,0.2525
10.392,0.255
10.394,0.2595
10.396,0.264
10.398,0.27
10.4,0.2705
10.402,0.274
10.404,0.263
10.406,0.259
10.408,0.2525
10.41,0.2495
10.412,0.2465
10.414,0.252
10.416,0.258
10.418,0.262
10.42,0.269
10.422,0.266
10.424,0.2615
10.426,0.2545
10.428,0.2485
10.43,0.2435
10.432,0.243
10.434,0.248
10.436,0.2525
10.438,0.255
10.44,0.2645
10.442,0.2605
10.444,0.2565
10.446,0.253
10.448,0.247
10.45,0.2425
10.452,0.2395
10.454,0.2495
10.456,0.253
10.458,0.2615
10.46,0.264
10.462,0.272
10.464,0.2595
10.466,0.2625
10.468,0.245
10.47,0.246
10.472,0.2345
10.474,0.256
10.476,0.273
10.478,0.2885
10.48,0.285
10.482,0.2935
10.484,0.2975
10.486,0.2865
10.488,0.273
10.49,0.255
